SEXO;FECHA_NACIMIENTO;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;DISCAPACIDAD;PERIODO_MATRICULA;FACULTAD;ESCUELA_PROFESIONAL;CICLO;NOTA_PROMEDIO;PERIODO_INGRESO;PERIODO_PRIMERA_MATRICULA;FECHA_MATRICULA;CREDITOS_MATRICULADOS
FEMENINO;20011202;50107;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;NO;2023-1;CIENCIAS DE LA SALUD;MEDICINA HUMANA;3;9.2;2021-1;2022-1;20230926;20
FEMENINO;20040524;50107;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;NO;2023-1;CIENCIAS DE LA SALUD;MEDICINA HUMANA;3;11.9;2021-1;2022-1;20230926;20
MASCULINO;19980425;50116;AYACUCHO;HUAMANGA;ANDRES AVELINO CACERES DORREGARAY;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;10;10.03;2018-1;2018-1;20230926;16
MASCULINO;20040510;100203;ICA;CHINCHA;CHINCHA BAJA;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;2;13;2022-1;2022-1;20230926;23
FEMENINO;20050715;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;1;0;2023-1;2023-1;20230926;20
MASCULINO;20041101;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;1;0;2023-1;2023-1;20230926;20
FEMENINO;19960102;50116;AYACUCHO;HUAMANGA;ANDRES AVELINO CACERES DORREGARAY;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;9;13.67;2019-1;2019-1;20230926;22
MASCULINO;19920629;50107;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;NO;2023-1;CIENCIAS DE LA SALUD;MEDICINA HUMANA;6;7.5;2012-1;2012-1;20230926;16
FEMENINO;20000721;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;OBSTETRICIA;9;14.5;2019-1;2019-1;20230926;20
MASCULINO;19950722;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;MEDICINA HUMANA;13;16;2013-1;2013-1;20230926;20
MASCULINO;19990427;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;MEDICINA HUMANA;8;13.11;2018-1;2018-1;20230926;19
MASCULINO;20031128;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;MEDICINA HUMANA;3;15.43;2022-1;2022-1;20230926;20
FEMENINO;19951029;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;MEDICINA HUMANA;6;14.04;2000-1;2022-1;20230926;20
FEMENINO;20020317;50406;AYACUCHO;LA MAR;TAMBO;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;2;14.57;2022-1;2022-1;20230926;21
FEMENINO;20000617;50116;AYACUCHO;HUAMANGA;ANDRES AVELINO CACERES DORREGARAY;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;9;11.83;2019-1;2019-1;20230926;22
FEMENINO;20000602;50406;AYACUCHO;LA MAR;TAMBO;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;8;10.28;2019-1;2019-1;20230926;21
MASCULINO;20011014;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;4;14.67;2000-1;2022-1;20230926;16
FEMENINO;20011024;50116;AYACUCHO;HUAMANGA;ANDRES AVELINO CACERES DORREGARAY;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;7;9.53;2019-1;2019-1;20230926;22
FEMENINO;20030607;50301;AYACUCHO;HUANTA;HUANTA;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;5;13.68;2021-1;2022-1;20230926;22
MASCULINO;19990604;50107;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;NO;2023-1;CIENCIAS DE LA SALUD;MEDICINA HUMANA;7;11.67;2000-1;2022-1;20230926;22
FEMENINO;20010522;50201;AYACUCHO;CANGALLO;CANGALLO;NO;2023-1;CIENCIAS DE LA SALUD;OBSTETRICIA;9;12.39;2019-1;2019-1;20230926;20
FEMENINO;20020802;50301;AYACUCHO;HUANTA;HUANTA;NO;2023-1;CIENCIAS DE LA SALUD;OBSTETRICIA;2;13.73;2022-1;2022-1;20230926;20
MASCULINO;20031113;50107;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;NO;2023-1;CIENCIAS DE LA SALUD;OBSTETRICIA;2;13.86;2022-1;2022-1;20230926;20
MASCULINO;20020612;50107;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;NO;2023-1;CIENCIAS DE LA SALUD;OBSTETRICIA;6;12.2;2000-1;2022-1;20230926;21
FEMENINO;20020427;50116;AYACUCHO;HUAMANGA;ANDRES AVELINO CACERES DORREGARAY;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;2;13.24;2022-1;2022-1;20230926;21
FEMENINO;20000704;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;9;13.4;2019-1;2019-1;20230926;22
MASCULINO;19990623;50115;AYACUCHO;HUAMANGA;JESUS NAZARENO;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;9;11.38;2017-1;2017-1;20230926;22
FEMENINO;19990620;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;MEDICINA HUMANA;12;15.59;2017-1;2017-1;20230926;15
FEMENINO;20010119;50103;AYACUCHO;HUAMANGA;CARMEN ALTO;NO;2023-1;CIENCIAS DE LA SALUD;OBSTETRICIA;6;10.16;2019-1;2019-1;20230926;20
FEMENINO;20021112;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;OBSTETRICIA;1;0;2023-1;2023-1;20230926;20
FEMENINO;19940102;50115;AYACUCHO;HUAMANGA;JESUS NAZARENO;NO;2023-1;CIENCIAS DE LA SALUD;OBSTETRICIA;6;15;2013-1;2013-1;20230926;9
FEMENINO;20030609;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;4;13.91;2020-2;2022-1;20230926;23
FEMENINO;19940325;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;MEDICINA HUMANA;8;13.91;2012-1;2012-1;20230926;17
FEMENINO;20001108;50107;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;NO;2023-1;CIENCIAS DE LA SALUD;OBSTETRICIA;4;12.71;2020-2;2022-1;20230926;22
MASCULINO;19971124;50713;AYACUCHO;VICTOR FAJARDO;SARHUA;NO;2023-1;CIENCIAS DE LA SALUD;MEDICINA HUMANA;12;14.5;2017-1;2017-1;20230926;15
FEMENINO;20040803;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;1;0;2023-1;2023-1;20230926;21
FEMENINO;20031225;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;OBSTETRICIA;1;0;2023-1;2023-1;20230926;20
